,Bioactivity_Score,Bioactivity_Score,Bioactivity_Score,LogP,LogP,LogP,TPSA,TPSA,TPSA,MolWt,MolWt,MolWt,Dipole_Proxy,Dipole_Proxy,Dipole_Proxy,Max_Partial_Charge,Max_Partial_Charge,Max_Partial_Charge,Balaban_J,Balaban_J,Balaban_J,Bertz_CT,Bertz_CT,Bertz_CT
,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median
Hotspot_Label,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7.211188354,7.817865419,7,2.9680142857142857,2.9789,7,9.497142857142858,0.0,7,159.33542830000002,156.0939004,7,0.2990415161428572,0.330336061,7,0.054341022,0.041187665,7,2.7846427151428577,2.828901216,7,382.4598571142857,379.2844904
1,5,6.3472900926,6.435432135,5,2.77388,2.8912,5,4.046,0.0,5,152.47623138,144.0939004,5,0.24874365780000002,0.16952916,5,0.0633078756,0.050351968,5,2.9935523326,2.966043179,5,216.09394905999997,195.718293
2,6,6.157150203333334,5.918963268500001,6,0.6199666666666667,0.6488,6,49.475,43.6,6,167.55573386666666,161.0827213,6,0.5444179423333333,0.48828293700000003,6,0.1983520698333333,0.1826401755,6,2.863750185666667,2.8830085380000003,6,415.1842975166667,406.5243647
3,10,6.7220391371,6.8153592425,10,2.6271999999999998,2.7865,10,13.270999999999997,0.0,10,157.68321642,149.1148328,10,0.286058044,0.2418802615,10,0.06795377150000001,0.022068881499999998,10,2.7002577986,2.7257045745,10,216.99513674999997,190.87033415
4,8,6.086189727125,5.867008746,8,0.533525,0.43715,8,54.1725,48.215,8,167.5574815125,161.0827213,8,0.603109394375,0.5692978615,8,0.23999274425,0.2262936415,8,2.775202184625,2.8329661215,8,413.24419627500004,399.36588105
5,7,6.168274690571429,6.215774987,7,1.5069,1.4587,7,49.38285714285714,46.53,7,174.90333405714287,166.0629942,7,0.8031772748571429,0.804452108,7,0.3231922284285714,0.324621508,7,2.8679875125714287,2.877595791,7,262.3341976285714,253.8009063
6,7,5.481546279142857,5.202344967,7,0.6337999999999999,0.5024,7,47.80857142857143,43.6,7,166.3282815285714,160.0748963,7,0.5639442835714286,0.482314588,7,0.19788439,0.164016123,7,2.913508531142857,2.941490232,7,411.3040898714286,394.3816552
7,6,5.943214940833333,5.6727330590000005,6,1.6984000000000001,1.9164,6,40.67166666666666,37.3,6,170.37133025,163.0759046,6,0.7927976906666666,0.7883009434999999,6,0.30731477283333336,0.3073147705,6,2.7477414896666663,2.736298072,6,270.11906534999997,257.4857477
8,6,6.162902267333333,6.4031090125,6,0.38985000000000003,0.28595,6,54.68000000000001,53.715,6,156.23489731666666,156.06236035,6,0.49680524899999995,0.4775881675,6,0.16407022033333332,0.1633739125,6,2.6657125223333336,2.688727222,6,378.55908355,374.2839783
9,6,5.886337283333333,5.743660492,6,1.6580833333333331,1.7037,6,35.99333333333333,37.3,6,155.7188555,161.06025455,6,0.7638808469999999,0.788351429,6,0.27586759850000003,0.3073658495,6,2.927461181,2.9264389945,6,275.31148391666665,275.70328195
10,9,6.341434465333333,6.168050015,9,3.0364555555555555,2.9491,9,6.164444444444445,0.0,9,149.97450554444444,146.1095504,9,0.27316216044444447,0.139157394,9,0.04755363033333333,0.031634785,9,2.9597160335555555,2.955063749,9,228.02501763333333,215.7231805
11,5,5.4516606238000005,5.064790097,5,2.52176,2.714,5,1.846,0.0,5,121.28750577999999,112.1252005,5,0.1569129974,0.103606897,5,0.005260258199999999,0.014537919,5,2.1678820942000003,2.125016255,5,62.362236694,55.40716557
